miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	306927	35278.770876	N
hsa-let-7a-2	295246	33936.134605	Y
hsa-let-7a-3	294343	33832.342074	N
hsa-let-7b	87217	10024.887219	N
hsa-let-7c	32189	3699.864644	Y
hsa-let-7d	37037	4257.102949	N
hsa-let-7e	27670	3180.442223	N
hsa-let-7f-1	239345	27510.767757	N
hsa-let-7f-2	255879	29411.217042	N
hsa-let-7g	186129	21394.019895	N
hsa-let-7i	77481	8905.812933	N
hsa-mir-1-1	8497	976.661278	N
hsa-mir-1-2	8966	1030.569027	N
hsa-mir-100	177071	20352.876214	Y
hsa-mir-101-1	19377	2227.229091	N
hsa-mir-101-2	21537	2475.503583	N
hsa-mir-103a-1	42814	4921.122274	Y
hsa-mir-103a-2	44750	5143.649782	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.229884	N
hsa-mir-105-2	6	0.689651	N
hsa-mir-106a	67	7.701107	Y
hsa-mir-106b	7522	864.592931	N
hsa-mir-107	3128	359.538246	Y
hsa-mir-10a	241826	27795.938597	N
hsa-mir-10b	588704	67666.753103	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.689651	N
hsa-mir-1180	423	48.620421	N
hsa-mir-1181	5	0.574709	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.379303	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.114942	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1872	215.171227	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.494245	N
hsa-mir-1227	3	0.344826	N
hsa-mir-1228	20	2.298838	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	12	1.379303	N
hsa-mir-124-2	10	1.149419	N
hsa-mir-124-3	8	0.919535	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	1.839070	N
hsa-mir-1245b	3	0.344826	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	79	9.080410	N
hsa-mir-1248	4	0.459768	N
hsa-mir-1249	214	24.597565	N
hsa-mir-1250	19	2.183896	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.609187	N
hsa-mir-1254-2	12	1.379303	N
hsa-mir-1255a	8	0.919535	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.344826	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	215145	24729.173908	N
hsa-mir-125b-1	63354	7282.028789	N
hsa-mir-125b-2	64552	7419.729179	N
hsa-mir-126	86675	9962.588712	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.459768	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	29	3.333315	N
hsa-mir-1263	1	0.114942	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.344826	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.114942	N
hsa-mir-1269b	2	0.229884	N
hsa-mir-127	1431	164.481851	N
hsa-mir-1270	650	74.712231	N
hsa-mir-1271	2844	326.894748	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.114942	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.114942	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	4	0.459768	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4283	492.296134	N
hsa-mir-128-2	2889	332.067133	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.114942	N
hsa-mir-1283-2	2	0.229884	N
hsa-mir-1284	9	1.034477	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	22	2.528722	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	90	10.344771	N
hsa-mir-129-2	112	12.873492	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	18	2.068954	N
hsa-mir-1292	37	4.252850	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	13	1.494245	N
hsa-mir-1295a	21	2.413780	N
hsa-mir-1295b	17	1.954012	N
hsa-mir-1296	264	30.344660	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	826	94.942005	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	9	1.034477	N
hsa-mir-1304	28	3.218373	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	72	8.275816	N
hsa-mir-1307	476	54.712342	N
hsa-mir-130a	280	32.183730	N
hsa-mir-130b	1084	124.597014	N
hsa-mir-132	1004	115.401662	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.229884	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1218	139.999228	Y
hsa-mir-133a-2	1193	137.125680	N
hsa-mir-133b	1	0.114942	Y
hsa-mir-134	66	7.586165	N
hsa-mir-1343	20	2.298838	N
hsa-mir-135a-1	130	14.942446	N
hsa-mir-135a-2	315	36.206697	N
hsa-mir-135b	290	33.333149	N
hsa-mir-136	91	10.459712	N
hsa-mir-137	8	0.919535	N
hsa-mir-138-1	13	1.494245	N
hsa-mir-138-2	3	0.344826	N
hsa-mir-139	3590	412.641402	N
hsa-mir-140	115937	13326.018431	N
hsa-mir-141	6	0.689651	N
hsa-mir-142	4918	565.284238	N
hsa-mir-143	677518	77875.202528	N
hsa-mir-144	1597	183.562206	N
hsa-mir-145	59988	6895.134372	N
hsa-mir-1468	61	7.011456	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5300	609.192041	N
hsa-mir-146b	47191	5424.222947	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	13	1.494245	N
hsa-mir-148a	17536	2015.621063	N
hsa-mir-148b	2916	335.170565	N
hsa-mir-149	366	42.068733	N
hsa-mir-150	11944	1372.865989	N
hsa-mir-151a	18679	2146.999649	N
hsa-mir-151b	187	21.494134	N
hsa-mir-152	4078	468.733046	N
hsa-mir-153-1	5	0.574709	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.229884	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	23	2.643664	N
hsa-mir-155	14838	1705.507832	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	477	54.827284	N
hsa-mir-15b	6801	781.719825	N
hsa-mir-16-1	16098	1850.334619	N
hsa-mir-16-2	17807	2046.770317	N
hsa-mir-17	508	58.390482	Y
hsa-mir-181a-1	20501	2356.423781	N
hsa-mir-181a-2	21233	2440.561247	N
hsa-mir-181b-1	4747	545.629174	N
hsa-mir-181b-2	5271	605.858726	N
hsa-mir-181c	262	30.114776	N
hsa-mir-181d	234	26.896403	N
hsa-mir-182	7065	812.064485	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	5637	647.927460	N
hsa-mir-184	9	1.034477	N
hsa-mir-185	2977	342.182020	N
hsa-mir-186	6334	728.041960	N
hsa-mir-187	6	0.689651	N
hsa-mir-188	2	0.229884	N
hsa-mir-18a	37	4.252850	Y
hsa-mir-18b	6	0.689651	Y
hsa-mir-1908	3	0.344826	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	108	12.413725	N
hsa-mir-190b	26	2.988489	N
hsa-mir-191	39612	4553.078328	N
hsa-mir-1910	12	1.379303	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	8207	943.328129	Y
hsa-mir-193a	2597	298.504100	N
hsa-mir-193b	829	95.286831	N
hsa-mir-194-1	830	95.401772	N
hsa-mir-194-2	2818	323.906259	N
hsa-mir-195	10504	1207.349661	N
hsa-mir-196a-1	3099	356.204931	N
hsa-mir-196a-2	5961	685.168634	N
hsa-mir-196b	2337	268.619208	N
hsa-mir-197	3506	402.986282	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	10	1.149419	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	22941	2636.882003	Y
hsa-mir-199a-2	41438	4762.962227	Y
hsa-mir-199b	57897	6654.790870	Y
hsa-mir-19a	77	8.850526	N
hsa-mir-19b-1	306	35.172220	N
hsa-mir-19b-2	313	35.976813	N
hsa-mir-200a	4246	488.043284	N
hsa-mir-200b	19921	2289.757482	N
hsa-mir-200c	651	74.827173	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	401	46.091700	N
hsa-mir-203b	1	0.114942	N
hsa-mir-204	13822	1588.726867	N
hsa-mir-205	133	15.287272	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2239	257.354902	N
hsa-mir-20b	55	6.321804	N
hsa-mir-21	1201187	138066.709517	N
hsa-mir-210	993	114.137301	N
hsa-mir-211	2	0.229884	N
hsa-mir-2110	177	20.344715	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	84	9.655119	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	235	27.011345	N
hsa-mir-214	4139	475.744502	N
hsa-mir-215	27	3.103431	Y
hsa-mir-216a	82	9.425235	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	261	29.999834	N
hsa-mir-218-1	894	102.758054	N
hsa-mir-218-2	783	89.999503	N
hsa-mir-219a-1	1	0.114942	N
hsa-mir-219a-2	15	1.724128	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	7560	868.960723	N
hsa-mir-221	18241	2096.655099	N
hsa-mir-222	6394	734.938474	N
hsa-mir-223	4840	556.318770	N
hsa-mir-224	10110	1162.062554	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	32	3.678141	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	209	24.022856	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	179796	20666.092877	Y
hsa-mir-23b	74488	8561.791843	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	10154	1167.119997	N
hsa-mir-24-2	10810	1242.521880	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	16051	1844.932350	N
hsa-mir-2681	5	0.574709	N
