id	filename	md5	size	state
060d7331-dd55-450b-8f33-3926035bc4d1	c9095197-dfd2-4e37-9486-edca7456f891.mirnaseq.mirnas.quantification.txt	02a959a0bfb0979d90c884384fc47ab8	51228	released
0ae8f366-e646-4f92-badd-306d15eb21a8	3d7f8a66-ffb9-40c3-8165-13ce14a178ae.mirnaseq.mirnas.quantification.txt	15358ae173dbcf8f2df46b024b5cb884	50797	released
f361f1a0-e356-43b8-bfa3-2d906fe2552b	846ba6c3-7e56-4d58-bfda-7b25af897f07.mirnaseq.mirnas.quantification.txt	bf6852d45af99a7a049719c8609d655c	51030	released
798703b1-2fe1-494e-90b7-6a4e44af44d0	ac7ca57e-9423-4972-a1fe-562cce89e5fc.mirnaseq.mirnas.quantification.txt	1c627a842b543384c97c39a9c2a9e4f8	51032	released
4aea9c1e-5ab5-4906-ba3e-a6ee678f0a23	3ab21bb8-8994-4f77-8afc-9b82b888d34f.mirnaseq.mirnas.quantification.txt	2de093f9cfea7d80090d49d004b0f461	50794	released
9c6a8f31-7add-4307-9bfb-c34570555b47	2d6d74c9-bd1b-411a-9011-f6f2e3d52290.mirnaseq.mirnas.quantification.txt	346cf0cc9ae6e21b21060b3ca3c88d51	51038	released
8bb21426-b6b5-43b8-8d66-fe14f796b66f	64cd6b77-3e74-4cc6-a527-18ea85e1bfdc.mirnaseq.mirnas.quantification.txt	8dd15c088a4580c953875c32117e9567	51132	released
ce15fdb6-deb4-4fad-9966-8c1839d3c516	7b08e793-35bb-464a-b6db-d83e2e860939.mirnaseq.mirnas.quantification.txt	fb2aefc9eb976560b558c46ab9b7590a	50773	released
9e7e1550-4c0a-4f7e-9868-14c18990be90	fff26957-c666-43e5-94c1-5e60a5f71970.mirnaseq.mirnas.quantification.txt	378295ee08f1f0234a2131c2ad855488	51065	released
2235d190-5ce2-4419-a4f6-07b2521a270f	a318c960-ff43-4441-83cb-ef6a5dd83382.mirnaseq.mirnas.quantification.txt	2d91b3a72051e8cd118bf2b97a95b51c	50748	released
b76ca142-48d5-41f1-b726-936e4b65575a	23bb8017-ec7d-4d3b-a755-582b6dd5da55.mirnaseq.mirnas.quantification.txt	3cee232ff23e292cde699a591a99dc78	50955	released
fecf386e-94d8-4ef1-975b-2bfb9cd5f01b	66fad92c-2985-4ded-b11e-3292616b2f9c.mirnaseq.mirnas.quantification.txt	442a7e35d40be5013c312b804c7ea6f3	50930	released
a6d8c7e9-a909-4bfb-86bf-47042e967dc9	a407c995-1247-4345-8e49-cb4faef43df9.mirnaseq.mirnas.quantification.txt	bfc1e7200dde0296506ac5ddf5234a93	50859	released
ea29d321-c396-44de-8ff9-4697bbcf36e1	bc82595e-32b1-47eb-8e14-3abaa005e6ba.mirnaseq.mirnas.quantification.txt	fea648d30d28f2aa2378249e640941bd	50884	released
60e8ab38-5201-4eb8-b66b-aedd52981029	4dfb1181-c173-436c-a5ae-4105ed84f43d.mirnaseq.mirnas.quantification.txt	860e43e85c08f36be1c1754345a2c56a	50860	released
9b8f4f44-a38f-4e31-851a-641dac63a74b	a4dc019a-a3fc-4e46-a7bf-05e65a569592.mirnaseq.mirnas.quantification.txt	cbfea23a7f0368361cd4b18abfa750a7	50811	released
0e87cae0-b2d6-416d-9cc4-d8f0f97759f9	3e1622a4-b64c-4ef5-8205-acc635a61efc.mirnaseq.mirnas.quantification.txt	dfe8897bf7fd55bb8e5f03637959cffc	50992	released
a2cc8c75-a72b-4f35-ab1c-e7514b8ba3fc	6c5143cd-2b8f-41aa-85ad-7aadd04ea640.mirnaseq.mirnas.quantification.txt	683e7f27485ff1e87366c540c9e2c2a1	50791	released
ed961ee3-9a87-4dc3-800c-dc5406763a69	01229b94-2e60-4a22-93c8-a8c2f9266486.mirnaseq.mirnas.quantification.txt	c4e570669dea32721e371cdbd343c786	50801	released
46bb6108-f25a-4da5-a5d4-31724794f31f	b6205a05-84f9-4ce3-818a-fb1879797491.mirnaseq.mirnas.quantification.txt	93c1208b1c3658ceadf76a0ddb7e40b6	50931	released
b388b653-817c-4801-87a5-323aa4ea2262	1a29b12b-7d20-4c9b-87b7-b12c86756bcd.mirnaseq.mirnas.quantification.txt	0e39481a8a16798c4a0b9e8e36c7c9d8	50794	released
a66f5201-6ba2-47fc-b614-6ac7e3823f57	9b0f41b8-c56f-49f0-a540-578cb35c6555.mirnaseq.mirnas.quantification.txt	a496bc37fe5c7f76a6d7c54a6dbdf7f9	50876	released
